,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,25.0,58.6,23,253,2070,23.0,48,34,82,46,2,2,37,0,44.4,43.1,31.4,74.5,513,1238,2.09,1.48,3.57,2.00,3.48,1.93,1.36,3.29,1.88,3.24
Aston Villa,25,27.7,47.9,23,253,2070,23.0,27,18,45,25,2,2,49,1,27.0,25.5,19.5,45.0,346,761,1.17,0.78,1.96,1.09,1.87,1.17,0.85,2.02,1.11,1.96
Bournemouth,29,26.9,39.4,23,253,2070,23.0,21,17,38,21,0,0,39,0,18.9,18.9,15.6,34.4,284,575,0.91,0.74,1.65,0.91,1.65,0.82,0.68,1.50,0.82,1.50
Brentford,25,26.8,43.7,23,253,2070,23.0,36,21,57,31,5,5,33,0,32.3,28.4,21.1,49.6,233,685,1.57,0.91,2.48,1.35,2.26,1.40,0.92,2.32,1.24,2.15
Brighton,24,27.3,58.8,22,242,1980,22.0,35,22,57,32,3,3,31,0,36.0,33.7,26.6,60.4,439,1074,1.59,1.00,2.59,1.45,2.45,1.63,1.21,2.85,1.53,2.75
Chelsea,32,27.6,58.9,23,253,2070,23.0,23,16,39,21,2,2,49,3,27.9,26.4,21.2,47.6,469,997,1.00,0.70,1.70,0.91,1.61,1.21,0.92,2.13,1.15,2.07
Crystal Palace,23,27.7,44.7,23,253,2070,23.0,20,17,37,20,0,2,54,2,21.8,20.1,16.4,36.5,312,713,0.87,0.74,1.61,0.87,1.61,0.95,0.71,1.66,0.88,1.59
Everton,28,27.0,45.5,23,253,2070,23.0,16,13,29,15,1,1,51,0,23.8,23.0,17.3,40.4,301,630,0.70,0.57,1.26,0.65,1.22,1.03,0.75,1.79,1.00,1.75
Fulham,29,29.0,46.3,24,264,2160,24.0,32,20,52,28,4,7,59,1,30.9,25.5,18.9,44.4,413,782,1.33,0.83,2.17,1.17,2.00,1.29,0.79,2.08,1.06,1.85
Leeds United,28,25.6,49.6,23,253,2070,23.0,26,19,45,25,1,2,54,2,29.5,28.0,20.4,48.4,342,874,1.13,0.83,1.96,1.09,1.91,1.28,0.89,2.17,1.22,2.10
Leicester City,27,27.0,50.0,23,253,2070,23.0,34,24,58,33,1,2,34,0,28.2,26.6,23.1,49.8,377,861,1.48,1.04,2.52,1.43,2.48,1.23,1.01,2.23,1.16,2.16
Liverpool,27,28.2,59.9,22,242,1980,22.0,34,27,61,34,0,0,24,1,39.9,39.9,31.4,71.3,419,1167,1.55,1.23,2.77,1.55,2.77,1.81,1.43,3.24,1.81,3.24
Manchester City,21,27.9,64.4,24,264,2160,24.0,59,46,105,54,5,5,27,1,50.5,46.6,37.7,84.3,647,1378,2.46,1.92,4.37,2.25,4.17,2.10,1.57,3.68,1.94,3.51
Manchester Utd,26,27.6,53.3,24,264,2160,24.0,39,31,70,37,2,2,53,1,38.9,37.3,30.4,67.7,427,954,1.62,1.29,2.92,1.54,2.83,1.62,1.27,2.89,1.56,2.82
Newcastle Utd,26,28.1,51.4,23,253,2070,23.0,34,21,55,31,3,3,41,1,37.1,34.8,27.3,62.2,404,965,1.48,0.91,2.39,1.35,2.26,1.61,1.19,2.80,1.51,2.70
Nott'ham Forest,33,26.8,39.5,23,253,2070,23.0,17,10,27,16,1,2,50,0,25.1,23.5,18.8,42.3,278,542,0.74,0.43,1.17,0.70,1.13,1.09,0.82,1.91,1.02,1.84
Southampton,31,25.1,44.3,23,253,2070,23.0,19,12,31,19,0,1,42,0,22.3,21.4,17.7,39.1,328,674,0.83,0.52,1.35,0.83,1.35,0.97,0.77,1.74,0.93,1.70
Tottenham,27,28.4,50.5,24,264,2160,24.0,42,28,70,40,2,3,50,2,34.7,32.4,25.6,58.0,464,978,1.75,1.17,2.92,1.67,2.83,1.45,1.07,2.51,1.35,2.42
West Ham,25,28.8,43.8,23,253,2070,23.0,19,8,27,15,4,6,29,0,28.3,24.3,17.2,41.5,367,825,0.83,0.35,1.17,0.65,1.00,1.23,0.75,1.98,1.06,1.80
Wolves,31,27.0,49.8,23,253,2070,23.0,15,9,24,13,2,2,49,4,22.9,21.4,16.7,38.0,406,875,0.65,0.39,1.04,0.57,0.96,0.99,0.72,1.72,0.93,1.65